unique_compliance_id,technology,compliance_framework,framework_id,framework_version,requirement_id,requirement_name,requirement_description,section,service,total_checks,automation_type,confidence_score,references,source_file,ibm_checks
canada_pbmm_moderate_multi_cloud_CCCS_AC-2_0002,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-2,CCCS AC-2: Account Management,,CCCS,IAM,15,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused
canada_pbmm_moderate_multi_cloud_CCCS_AC-5_0005,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-5,CCCS AC-5: Separation of Duties,,CCCS,IAM,9,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_iam_policy_no_administrative_privileges
canada_pbmm_moderate_multi_cloud_CCCS_AC-6_0006,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-6,CCCS AC-6: Least Privilege,,CCCS,IAM,21,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_iam_policy_no_administrative_privileges; ibm_iam_policy_overly_permissive; ibm_iam_role_least_privilege
canada_pbmm_moderate_multi_cloud_CCCS_AC-17_0013,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-17,CCCS AC-17: Remote Access,,CCCS,Multiple,63,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_analytics_engine_cluster_master_nodes_no_public_ip; ibm_cos_bucket_policy_public_write_access; ibm_cos_bucket_public_access; ibm_databases_instance_no_public_access; ibm_databases_snapshots_public_access; ibm_db2_warehouse_cluster_public_access; ibm_functions_function_not_publicly_accessible; ibm_functions_function_url_public; ibm_vpc_block_storage_public_snapshot; ibm_vpc_instance_public_ip
canada_pbmm_moderate_multi_cloud_CCCS_AU-2_0024,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-2,CCCS AU-2: Event Logging,,CCCS,Multiple,59,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_activity_tracker_cos_read_events_enabled; ibm_activity_tracker_cos_write_events_enabled; ibm_activity_tracker_logging_enabled; ibm_activity_tracker_multi_region_enabled; ibm_api_connect_restapi_logging_enabled; ibm_cos_bucket_server_access_logging_enabled; ibm_databases_instance_logging_enabled; ibm_db2_warehouse_cluster_audit_logging; ibm_load_balancer_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-3_0025,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-3,CCCS AU-3: Content of Audit Records,,CCCS,Multiple,60,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_activity_tracker_cos_read_events_enabled; ibm_activity_tracker_cos_write_events_enabled; ibm_activity_tracker_logging_enabled; ibm_activity_tracker_multi_region_enabled; ibm_api_connect_restapi_logging_enabled; ibm_cos_bucket_server_access_logging_enabled; ibm_databases_instance_logging_enabled; ibm_db2_warehouse_cluster_audit_logging; ibm_load_balancer_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-6_0028,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-6,"CCCS AU-6: Audit Record Review, Analysis, and Reporting",,CCCS,CLOUDWATCH,16,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_log_analysis_log_analysis_enabled; ibm_log_analysis_log_metric_filter_alarm_configured
canada_pbmm_moderate_multi_cloud_CCCS_AU-8_0030,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-8,CCCS AU-8: Time Stamps,,CCCS,Multiple,58,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_activity_tracker_cos_read_events_enabled; ibm_activity_tracker_cos_write_events_enabled; ibm_activity_tracker_logging_enabled; ibm_activity_tracker_multi_region_enabled; ibm_api_connect_restapi_logging_enabled; ibm_cos_bucket_server_access_logging_enabled; ibm_databases_instance_logging_enabled; ibm_db2_warehouse_cluster_audit_logging; ibm_load_balancer_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-9_0031,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-9,CCCS AU-9: Protection of Audit Information,,CCCS,CLOUDTRAIL,10,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_activity_tracker_log_file_validation_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-12_0033,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-12,CCCS AU-12: Audit Record Generation,,CCCS,Multiple,59,automated,,,CANADA_PBMM_controls_with_checks.csv,ibm_activity_tracker_cos_read_events_enabled; ibm_activity_tracker_cos_write_events_enabled; ibm_activity_tracker_logging_enabled; ibm_activity_tracker_multi_region_enabled; ibm_api_connect_restapi_logging_enabled; ibm_cos_bucket_server_access_logging_enabled; ibm_databases_instance_logging_enabled; ibm_db2_warehouse_cluster_audit_logging; ibm_load_balancer_logging_enabled
