csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,smartag,id,item.id,string,Yes,alicloud.smartag.DescribeACLAttribute,read_list,Yes,alicloud.smartag.DescribeACLAttribute,alicloud.smartag.DescribeACLAttribute,1,0,alicloud.smartag.DescribeACLAttribute[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.smartag.Client().DescribeACLAttribute().data,,
alicloud,smartag,name,item.name,string,No,alicloud.smartag.DescribeACLAttribute,read_list,Yes,alicloud.smartag.DescribeACLAttribute,alicloud.smartag.DescribeACLAttribute,1,0,alicloud.smartag.DescribeACLAttribute[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.smartag.Client().DescribeACLAttribute().data,,
alicloud,smartag,resource_type,item.resource_type,string,No,alicloud.smartag.DescribeACLAttribute,read_list,Yes,alicloud.smartag.DescribeACLAttribute,alicloud.smartag.DescribeACLAttribute,1,0,alicloud.smartag.DescribeACLAttribute[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.smartag.Client().DescribeACLAttribute().data,,
alicloud,smartag,region,item.region,string,No,alicloud.smartag.DescribeACLAttribute,read_list,Yes,alicloud.smartag.DescribeACLAttribute,alicloud.smartag.DescribeACLAttribute,1,0,alicloud.smartag.DescribeACLAttribute[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.smartag.Client().DescribeACLAttribute().data,,
alicloud,smartag,encrypted,item.encrypted,boolean,No,alicloud.smartag.DescribeACLAttribute,read_list,Yes,alicloud.smartag.DescribeACLAttribute,alicloud.smartag.DescribeACLAttribute,1,0,alicloud.smartag.DescribeACLAttribute[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.smartag.Client().DescribeACLAttribute().data,,
alicloud,smartag,kms_key_id,item.kms_key_id,string,Yes,alicloud.smartag.DescribeACLAttribute,read_list,Yes,alicloud.smartag.DescribeACLAttribute,alicloud.smartag.DescribeACLAttribute,1,0,alicloud.smartag.DescribeACLAttribute[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.smartag.Client().DescribeACLAttribute().data,,
alicloud,smartag,public_ip_address,item.public_ip_address,string,No,alicloud.smartag.DescribeACLAttribute,read_list,Yes,alicloud.smartag.DescribeACLAttribute,alicloud.smartag.DescribeACLAttribute,1,0,alicloud.smartag.DescribeACLAttribute[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.smartag.Client().DescribeACLAttribute().data,,
alicloud,smartag,vpc_id,item.vpc_id,string,Yes,alicloud.smartag.DescribeACLAttribute,read_list,Yes,alicloud.smartag.DescribeACLAttribute,alicloud.smartag.DescribeACLAttribute,1,0,alicloud.smartag.DescribeACLAttribute[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.smartag.Client().DescribeACLAttribute().data,,
alicloud,smartag,status,item.status,string,No,alicloud.smartag.DescribeACLAttribute,read_list,Yes,alicloud.smartag.DescribeACLAttribute,alicloud.smartag.DescribeACLAttribute,1,0,alicloud.smartag.DescribeACLAttribute[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.smartag.Client().DescribeACLAttribute().data,,
alicloud,smartag,tags,item.tags,object,No,alicloud.smartag.DescribeACLAttribute,read_list,Yes,alicloud.smartag.DescribeACLAttribute,alicloud.smartag.DescribeACLAttribute,1,0,alicloud.smartag.DescribeACLAttribute[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.smartag.Client().DescribeACLAttribute().data,,
