service,resource,rule_id,severity,domain,description
acm_pca,root,aws.acm_pca.root.ca_disabled,medium,secrets_and_key_management,Checks if AWS Private Certificate Authority (AWS Private CA) has a root CA that is disabled. The rule is NON_COMPLIANT for root CAs with status that is not DISABLED.
acmpca,certificate,aws.acmpca.certificate.authority_tagged,low,compliance_and_governance,"Checks if AWS Private CA certificate authorities have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
amplify,app,aws.amplify.app.build_spec_configured,medium,configuration_and_change_management,Checks if AWS Amplify apps have a build specification configured. The rule is NON_COMPLIANT if configuration.BuildSpec does not exist.
amplify,app,aws.amplify.app.description,medium,configuration_and_change_management,Checks if AWS Amplify apps have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.
amplify,app,aws.amplify.app.no_environment_variables,high,secrets_and_key_management,Checks that AWS Amplify apps do not contain environment variables. The rule is NON_COMPLIANT if configuration.EnvironmentVariables is not an empty list.
amplify,app,aws.amplify.app.platform_check,medium,configuration_and_change_management,Checks if AWS Amplify apps are configured with the specified platform. The rule is NON_COMPLIANT if configuration.Platform is a value not specified in the required rule parameter.
amplify,app,aws.amplify.app.tagged,low,compliance_and_governance,"Checks if AWS Amplify apps have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'."
amplify,app_branch,aws.amplify.app_branch.auto_deletion_enabled,medium,configuration_and_change_management,Checks if AWS Amplify apps automatically disconnect a branch in Amplify Hosting when you delete a branch from your Git repository. The rule is NON_COMPLIANT if configuration.EnableBranchAutoDeletion is false.
amplify,branch,aws.amplify.branch.auto_build_enabled,medium,configuration_and_change_management,Checks if AWS Amplify branches have auto build enabled. The rule is NON_COMPLIANT if configuration.EnableAutoBuild is false.
amplify,branch,aws.amplify.branch.build_spec_configured,medium,configuration_and_change_management,Checks if AWS Amplify branches have a build specification configured. The rule is NON_COMPLIANT if configuration.BuildSpec does not exist.
amplify,branch,aws.amplify.branch.description,medium,configuration_and_change_management,Checks if AWS Amplify branches have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.
