service,field_name,type,is_enum,possible_values,values_source,operators,dependency_index_entity,in_direct_vars
accessanalyzer,changeType,string,Yes,"CHANGED, NEW, UNCHANGED",direct_vars,"equals, not_equals, contains, in",accessanalyzer.finding_change_type,Yes
accessanalyzer,existingFindingStatus,string,Yes,"ACTIVE, ARCHIVED, RESOLVED",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",accessanalyzer.finding_existing_finding_status,Yes
accessanalyzer,finding,,Yes,"ACTIVE, ARCHIVED, ExternalAccess, InternalAccess, RESOLVED, UnusedIAMRole, UnusedIAMUserAccessKey, UnusedIAMUserPassword, UnusedPermission",boto3_deps,"equals, not_equals, contains, in",accessanalyzer.finding,Yes
accessanalyzer,findingType,string,Yes,"ExternalAccess, UnusedIAMRole, UnusedIAMUserAccessKey, UnusedIAMUserPassword, UnusedPermission, InternalAccess",direct_vars,"equals, not_equals, contains, in",accessanalyzer.finding_finding_type,Yes
accessanalyzer,recommendationType,,Yes,"ACCOUNT, ACCOUNT_INTERNAL_ACCESS, ACCOUNT_UNUSED_ACCESS, ORGANIZATION, ORGANIZATION_INTERNAL_ACCESS, ORGANIZATION_UNUSED_ACCESS, UnusedPermissionRecommendation",boto3_deps,"equals, not_equals, gt, lt, gte, lte",accessanalyzer.completed_at,Yes
accessanalyzer,resource,string,Yes,"APPLICABLE, APPLIED, AWS::DynamoDB::Stream, AWS::DynamoDB::Table, AWS::EC2::Snapshot, AWS::ECR::Repository, AWS::EFS::FileSystem, AWS::IAM::Role, AWS::IAM::User, AWS::KMS::Key, AWS::Lambda::Function, AWS::Lambda::LayerVersion, AWS::RDS::DBClusterSnapshot, AWS::RDS::DBSnapshot, AWS::S3::Bucket, AWS::S3Express::DirectoryBucket, AWS::SNS::Topic, AWS::SQS::Queue, AWS::SecretsManager::Secret, FAILED_TO_EVALUATE_RCP, NOT_APPLICABLE",boto3_deps,"equals, not_equals, contains, in",accessanalyzer.finding_resource,Yes
accessanalyzer,resourceControlPolicyRestriction,string,Yes,"APPLICABLE, FAILED_TO_EVALUATE_RCP, NOT_APPLICABLE, APPLIED",direct_vars,"equals, not_equals, contains, in",accessanalyzer.finding_resource_control_policy_restriction,Yes
accessanalyzer,resourceType,string,Yes,"AWS::S3::Bucket, AWS::IAM::Role, AWS::SQS::Queue, AWS::Lambda::Function, AWS::Lambda::LayerVersion, AWS::KMS::Key, AWS::SecretsManager::Secret, AWS::EFS::FileSystem, AWS::EC2::Snapshot, AWS::ECR::Repository, AWS::RDS::DBSnapshot, AWS::RDS::DBClusterSnapshot, AWS::SNS::Topic, AWS::S3Express::DirectoryBucket, AWS::DynamoDB::Table, AWS::DynamoDB::Stream, AWS::IAM::User",direct_vars,"equals, not_equals, contains, in",accessanalyzer.resource_resource_type,Yes
accessanalyzer,status,string,Yes,"ACTIVE, CREATING, DISABLED, FAILED",direct_vars,"equals, in, not_equals",accessanalyzer.analyzer_status,Yes
accessanalyzer,statusReason,object,Yes,"ACTIVE, ARCHIVED, CANCELED, COMPLETED, CREATING, DISABLED, FAILED, IN_PROGRESS, RESOLVED, SUCCEEDED",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",accessanalyzer.analyzer_status_reason,Yes
